unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1648929600,2022-04-02 20:00:00,BCH/USD,375.84,376.36,375.52,376.21,112.89022873,42470.4329505133
1648926000,2022-04-02 19:00:00,BCH/USD,374.22,376.94,374.22,375.00,107.71558354,40393.3438275
1648922400,2022-04-02 18:00:00,BCH/USD,376.81,376.81,370.00,373.67,364.11239655,136057.87921883853
1648918800,2022-04-02 17:00:00,BCH/USD,377.16,377.93,377.16,377.63,10.59500000,4000.9898500000004
1648915200,2022-04-02 16:00:00,BCH/USD,374.54,377.61,374.54,376.99,51.21984356,19309.3688236844
1648911600,2022-04-02 15:00:00,BCH/USD,376.66,378.57,372.99,375.06,87.53494061,32830.8548251866
1648908000,2022-04-02 14:00:00,BCH/USD,379.05,379.05,376.66,377.73,57.52557855,21729.136785691502
1648904400,2022-04-02 13:00:00,BCH/USD,379.71,380.87,378.58,379.05,103.32209291,39164.2393175355
1648900800,2022-04-02 12:00:00,BCH/USD,377.87,380.69,373.68,379.10,144.17102784,54655.236654144
1648897200,2022-04-02 11:00:00,BCH/USD,380.21,380.46,378.37,378.37,103.37024266,39112.1987152642
1648893600,2022-04-02 10:00:00,BCH/USD,381.09,381.09,379.70,380.01,43.33784978,16468.8162948978
