https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1649221200,2022-04-06 05:00:00,ADA/USD,1.14838,1.15617,1.14838,1.15617,1229.64818821,1421.6823457627556
1649217600,2022-04-06 04:00:00,ADA/USD,1.14627,1.14627,1.14627,1.14627,0.00000000,0.0
1649214000,2022-04-06 03:00:00,ADA/USD,1.14627,1.14627,1.14627,1.14627,0.00000000,0.0
1649210400,2022-04-06 02:00:00,ADA/USD,1.14736,1.14736,1.14285,1.14627,12755.93359077,14621.743997091928
1649206800,2022-04-06 01:00:00,ADA/USD,1.15452,1.15452,1.15452,1.15452,26.79686100,30.93751196172
1649203200,2022-04-06 00:00:00,ADA/USD,1.15951,1.15951,1.11629,1.15411,43630.03513689,50353.85985183612
1649199600,2022-04-05 23:00:00,ADA/USD,1.17922,1.17922,1.16947,1.17142,37527.18446021,43960.094420379195
1649196000,2022-04-05 22:00:00,ADA/USD,1.19096,1.19096,1.19096,1.19096,56.70317900,67.53121806184
1649192400,2022-04-05 21:00:00,ADA/USD,1.18819,1.18819,1.18819,1.18819,0.00000000,0.0
1649188800,2022-04-05 20:00:00,ADA/USD,1.19605,1.19605,1.18819,1.18819,3861.42705498,4588.109012456686
1649185200,2022-04-05 19:00:00,ADA/USD,1.18427,1.19945,1.18360,1.19773,8831.03145702,10577.191307016565
1649181600,2022-04-05 18:00:00,ADA/USD,1.18731,1.18731,1.18731,1.18731,0.00000000,0.0
1649178000,2022-04-05 17:00:00,ADA/USD,1.18731,1.18731,1.18731,1.18731,0.00000000,0.0
1649174400,2022-04-05 16:00:00,ADA/USD,1.18731,1.18731,1.18731,1.18731,0.00000000,0.0
1649170800,2022-04-05 15:00:00,ADA/USD,1.18866,1.18870,1.18360,1.18731,4308.53476447,5115.566411202875
1649167200,2022-04-05 14:00:00,ADA/USD,1.18344,1.18734,1.18322,1.18734,15125.47536323,17959.08191777751
1649163600,2022-04-05 13:00:00,ADA/USD,1.20471,1.20473,1.19676,1.20102,22859.00381054,27454.120756534754
1649160000,2022-04-05 12:00:00,ADA/USD,1.21242,1.21704,1.21242,1.21704,3962.52409772,4822.550327889148
1649156400,2022-04-05 11:00:00,ADA/USD,1.20688,1.20857,1.20688,1.20691,3524.50584119,4253.761344790622
1649152800,2022-04-05 10:00:00,ADA/USD,1.19833,1.20181,1.19833,1.20181,63.98424281,76.8969028514861
1649149200,2022-04-05 09:00:00,ADA/USD,1.20387,1.20387,1.20387,1.20387,0.00000000,0.0
1649145600,2022-04-05 08:00:00,ADA/USD,1.20387,1.20387,1.20387,1.20387,661.21749026,796.0198999993062
1649142000,2022-04-05 07:00:00,ADA/USD,1.20223,1.20527,1.20223,1.20527,246.98078064,297.6785254819728
1649138400,2022-04-05 06:00:00,ADA/USD,1.20172,1.20172,1.20172,1.20172,444.00000000,533.56368
1649134800,2022-04-05 05:00:00,ADA/USD,1.20938,1.20938,1.20938,1.20938,0.00000000,0.0
1649131200,2022-04-05 04:00:00,ADA/USD,1.21300,1.21302,1.20938,1.20938,9257.33644644,11195.637551595606
1649127600,2022-04-05 03:00:00,ADA/USD,1.20968,1.20968,1.20968,1.20968,0.00000000,0.0
1649124000,2022-04-05 02:00:00,ADA/USD,1.20968,1.20968,1.20968,1.20968,0.00000000,0.0
1649120400,2022-04-05 01:00:00,ADA/USD,1.20968,1.20968,1.20968,1.20968,42.20513254,51.054704730987204
1649116800,2022-04-05 00:00:00,ADA/USD,1.21377,1.21568,1.21377,1.21568,27676.04537999,33645.214847546245
1649113200,2022-04-04 23:00:00,ADA/USD,1.21024,1.21195,1.21024,1.21195,7840.28855858,9502.037718571031
1649109600,2022-04-04 22:00:00,ADA/USD,1.20285,1.20322,1.19797,1.19797,7281.39558633,8722.89347055575
1649106000,2022-04-04 21:00:00,ADA/USD,1.20084,1.20084,1.20084,1.20084,65.48028000,78.63133943519999
1649102400,2022-04-04 20:00:00,ADA/USD,1.18804,1.19659,1.18804,1.19659,2807.96807405,3359.986517727489
1649098800,2022-04-04 19:00:00,ADA/USD,1.18324,1.19063,1.18324,1.19040,31403.66957334,37382.92826010394
1649095200,2022-04-04 18:00:00,ADA/USD,1.16926,1.17486,1.16384,1.17437,2534.74500749,2976.7284944460307
1649091600,2022-04-04 17:00:00,ADA/USD,1.18000,1.18000,1.16766,1.16766,9368.20055544,10938.87306056507
1649088000,2022-04-04 16:00:00,ADA/USD,1.21056,1.21728,1.20654,1.20654,2584.50862489,3118.3130362747806
1649084400,2022-04-04 15:00:00,ADA/USD,1.22883,1.22883,1.19873,1.20600,50825.38829507,61295.418283854415
1649080800,2022-04-04 14:00:00,ADA/USD,1.23000,1.24130,1.22666,1.23089,4977.27851515,6126.482351512984
1649077200,2022-04-04 13:00:00,ADA/USD,1.20697,1.21813,1.19548,1.21813,3448.85452066,4201.153157251566
1649073600,2022-04-04 12:00:00,ADA/USD,1.22159,1.22657,1.22055,1.22461,14139.96889992,17315.947314531033
1649070000,2022-04-04 11:00:00,ADA/USD,1.19750,1.21824,1.19750,1.21824,4189.28573019,5103.555447946666
1649066400,2022-04-04 10:00:00,ADA/USD,1.19845,1.20084,1.19300,1.19872,4743.17837322,5685.742779546279
1649062800,2022-04-04 09:00:00,ADA/USD,1.21345,1.21494,1.20141,1.20141,15244.59927839,18315.01401905053
1649059200,2022-04-04 08:00:00,ADA/USD,1.22034,1.22644,1.22034,1.22381,1891.41819593,2314.7365023610932
1649055600,2022-04-04 07:00:00,ADA/USD,1.22315,1.23171,1.21756,1.21787,48279.27281877,58797.877987795415
1649052000,2022-04-04 06:00:00,ADA/USD,1.20000,1.21610,1.20000,1.21610,7182.51853648,8734.660792213328
1649048400,2022-04-04 05:00:00,ADA/USD,1.18239,1.18239,1.18239,1.18239,0.00000000,0.0
1649044800,2022-04-04 04:00:00,ADA/USD,1.18239,1.18239,1.18239,1.18239,8.81486673,10.4226102728847
1649041200,2022-04-04 03:00:00,ADA/USD,1.18061,1.18061,1.18061,1.18061,308.34149855,364.0310566031155
1649037600,2022-04-04 02:00:00,ADA/USD,1.17486,1.18230,1.17486,1.18230,282.77925192,334.32990954501594
1649034000,2022-04-04 01:00:00,ADA/USD,1.16889,1.16889,1.16889,1.16889,0.00000000,0.0
1649030400,2022-04-04 00:00:00,ADA/USD,1.16680,1.17054,1.16644,1.16889,3884.06984379,4540.050399707693
1649026800,2022-04-03 23:00:00,ADA/USD,1.18379,1.18935,1.18379,1.18935,1377.64968649,1638.5076546268815
1649023200,2022-04-03 22:00:00,ADA/USD,1.19039,1.19729,1.19039,1.19039,3153.81201747,3754.266287476113
1649019600,2022-04-03 21:00:00,ADA/USD,1.18453,1.18469,1.18325,1.18408,902.92597617,1069.1365898633737
1649016000,2022-04-03 20:00:00,ADA/USD,1.17839,1.18313,1.17839,1.18313,258.94236684,306.36248247940915
1649012400,2022-04-03 19:00:00,ADA/USD,1.18282,1.18331,1.18232,1.18232,2171.78294152,2567.742407417926
1649008800,2022-04-03 18:00:00,ADA/USD,1.18213,1.18213,1.17864,1.18062,2939.55411438,3470.496378519316
1649005200,2022-04-03 17:00:00,ADA/USD,1.18383,1.18383,1.18383,1.18383,75.87268442,89.82035999692859
1649001600,2022-04-03 16:00:00,ADA/USD,1.17467,1.17467,1.17467,1.17467,46.44842934,54.5615764928178
