unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1649487600,2022-04-09 07:00:00,AAVE/USD,180.64,181.60,180.52,180.52,64.02507856,11557.8071816512
1649484000,2022-04-09 06:00:00,AAVE/USD,183.52,183.52,179.04,180.79,295.77619300,53473.37793246999
1649480400,2022-04-09 05:00:00,AAVE/USD,182.22,183.85,182.14,183.85,18.94212149,3482.5090359365004
1649476800,2022-04-09 04:00:00,AAVE/USD,182.17,182.78,181.82,182.78,29.64053909,5417.6977348702
1649473200,2022-04-09 03:00:00,AAVE/USD,180.63,182.60,180.63,182.60,101.68622921,18567.905453746
1649469600,2022-04-09 02:00:00,AAVE/USD,183.85,183.85,183.85,183.85,0.00000000,0.0
1649466000,2022-04-09 01:00:00,AAVE/USD,183.85,183.85,183.85,183.85,7.31228224,1344.3630898239999
1649462400,2022-04-09 00:00:00,AAVE/USD,184.52,184.52,184.52,184.52,7.48794294,1381.6752312888
1649458800,2022-04-08 23:00:00,AAVE/USD,183.43,183.43,182.91,183.27,8.64585468,1584.5257872036
1649455200,2022-04-08 22:00:00,AAVE/USD,184.67,185.50,184.32,184.32,27.21307158,5015.9133536256
1649451600,2022-04-08 21:00:00,AAVE/USD,189.95,189.95,185.67,185.67,58.90776593,10937.404900223099
1649448000,2022-04-08 20:00:00,AAVE/USD,188.67,190.06,188.67,189.50,53.64658535,10166.027923825
1649444400,2022-04-08 19:00:00,AAVE/USD,192.56,192.59,192.50,192.59,0.80286304,154.6233928736
1649440800,2022-04-08 18:00:00,AAVE/USD,191.48,192.51,189.25,192.51,175.67212485,33818.64075487349
1649437200,2022-04-08 17:00:00,AAVE/USD,192.78,192.78,190.80,190.80,34.11641934,6509.412810072001
1649433600,2022-04-08 16:00:00,AAVE/USD,195.86,196.66,195.52,196.66,54.00198253,10620.0298843498
1649430000,2022-04-08 15:00:00,AAVE/USD,196.67,197.47,196.47,196.81,17.04582173,3354.7881746813
1649426400,2022-04-08 14:00:00,AAVE/USD,190.67,196.42,190.67,196.42,13.02225082,2557.8305060643997
1649422800,2022-04-08 13:00:00,AAVE/USD,190.00,190.58,188.00,190.56,16.07451407,3063.1594011792
1649419200,2022-04-08 12:00:00,AAVE/USD,193.04,193.74,192.64,192.64,21.89117268,4217.1155050751995
1649415600,2022-04-08 11:00:00,AAVE/USD,193.20,193.44,191.42,192.69,59.73315694,11509.9820107686
1649412000,2022-04-08 10:00:00,AAVE/USD,194.71,194.71,193.27,194.00,21.29579335,4131.3839099
1649408400,2022-04-08 09:00:00,AAVE/USD,196.22,196.22,194.69,195.04,415.76486942,81090.7801316768
1649404800,2022-04-08 08:00:00,AAVE/USD,198.18,198.41,197.50,198.32,21.06469338,4177.5499911216
1649401200,2022-04-08 07:00:00,AAVE/USD,197.79,198.02,197.28,197.78,0.25420999,50.2776518222
1649397600,2022-04-08 06:00:00,AAVE/USD,198.36,198.50,197.39,197.74,8.24026633,1629.4302640942003
1649394000,2022-04-08 05:00:00,AAVE/USD,200.62,200.62,200.62,200.62,0.00000000,0.0
1649390400,2022-04-08 04:00:00,AAVE/USD,200.62,200.62,200.62,200.62,0.00000000,0.0
1649386800,2022-04-08 03:00:00,AAVE/USD,200.21,200.62,200.21,200.62,0.16014470,32.128229714
1649383200,2022-04-08 02:00:00,AAVE/USD,199.38,201.15,199.38,200.71,33.23424736,6670.4457876256
1649379600,2022-04-08 01:00:00,AAVE/USD,198.14,200.46,198.14,199.82,61.26105282,12241.183574492401
1649376000,2022-04-08 00:00:00,AAVE/USD,201.84,201.84,196.47,201.81,49.38934554,9967.2638234274
1649372400,2022-04-07 23:00:00,AAVE/USD,203.67,204.37,203.18,203.18,16.35208811,3322.4172621898
1649368800,2022-04-07 22:00:00,AAVE/USD,201.33,203.78,201.00,202.98,485.03889214,98453.19432657718
1649365200,2022-04-07 21:00:00,AAVE/USD,202.72,202.72,200.60,202.49,0.54087548,109.5218759452
1649361600,2022-04-07 20:00:00,AAVE/USD,201.82,203.94,201.82,202.88,780.47006621,158341.76703268482
1649358000,2022-04-07 19:00:00,AAVE/USD,202.67,202.67,202.67,202.67,7.79506904,1579.8266423367998
1649354400,2022-04-07 18:00:00,AAVE/USD,201.74,204.73,201.74,204.73,36.85375101,7545.0684442773
1649350800,2022-04-07 17:00:00,AAVE/USD,200.46,200.56,200.24,200.24,14.19624045,2842.655187708
